아파트ID,아파트명,지번주소,위도,경도,세대수,임대수,동수,주차대수,용적률,건폐율,건설사
102955,대치주성,서울시 강남구 대치동 962-20,37.50161,127.060109,14,0,1,20,266,46,주식회사 주성 종합건설
123312,대치타워,서울시 강남구 대치동 914-8,37.501729,127.058044,10,0,1,9,242,53,삼인종합건설(주)
135597,대치푸르지오써밋,서울시 강남구 대치동 963번지 일원,37.502438,127.060288,489,20,9,812,0,0,㈜대우건설
10297,대치풍림아이원1차,서울시 강남구 대치동 910-3,37.501695,127.054872,57,0,3,66,0,0,풍림산업(주)
13826,대치풍림아이원2차,서울시 강남구 대치동 910-7,37.501362,127.054967,33,0,2,61,0,0,풍림산업(주)
11620,대치풍림아이원3차,서울시 강남구 대치동 1007-1,37.504691,127.066834,42,0,1,73,296,24,풍림산업(주)
11621,대치풍림아이원4차,서울시 강남구 대치동 1007-2,37.504258,127.066704,33,0,1,58,298,29,풍림산업(주)
107149,대치하나빌,서울시 강남구 대치동 1015-6,37.497029,127.058482,12,0,1,28,297,57,지비건설(주)
22573,대치한신휴플러스,서울시 강남구 대치동 907-2,37.501432,127.051392,66,0,1,74,248,33,한신공영(주)
971,대치현대,서울시 강남구 대치동 974,37.500906,127.061068,630,0,8,711,341,23,(주)현대건설
3045,대치효성,서울시 강남구 대치동 988-4,37.499933,127.061103,83,0,1,125,296,21,(주)효성
116437,더힐하우스(도시형),서울시 강남구 대치동 920-27,37.499451,127.052869,44,0,4,36,185,53,(주)남경산업개발
17690,도성,서울시 강남구 대치동 915-13,37.501137,127.058351,10,0,1,14,299,55,랜드종합건설(주)
22149,동민맥스빌(A동),서울시 강남구 대치동 938-11,37.497826,127.055588,30,0,1,46,341,59,동민종합건설주식회사
101378,동민맥스빌(B동),서울시 강남구 대치동 938-13,37.497945,127.05588,18,0,1,29,282,54,동민종합건설주식회사
8710,동부센트레빌,서울시 강남구 대치동 670,37.493104,127.055557,805,0,7,1824,297,19,동부건설(주)
14104,동양,서울시 강남구 대치동 920-32,37.499793,127.052577,19,0,1,29,223,42,종합건설(주)
107916,래미안대치팰리스1단지,서울시 강남구 대치동 1027,37.494375,127.057833,1278,20,13,2478,258,15,삼성물산주식회사
107917,래미안대치팰리스2단지,서울시 강남구 대치동 1028,37.494936,127.061199,330,20,4,601,258,15,삼성물산주식회사
972,래미안대치하이스턴,서울시 강남구 대치동 985,37.501371,127.065157,354,0,5,461,347,40,삼성물산
125239,로프트아파트먼트대치(도시형),서울시 강남구 대치동 908-4,37.500642,127.051966,16,0,1,15,249,46,대호아이피종합건설(주)
3303,롯데캐슬,서울시 강남구 대치동 893,37.505115,127.056706,142,0,3,246,315,28,롯데건설주식회사
127973,르엘대치,서울시 강남구 대치동 977,37.501355,127.063828,273,22,6,408,0,0,롯데건설(주)
102910,메트로,서울시 강남구 대치동 901-51,37.502997,127.055466,11,0,1,12,296,58,주식회사 엠제이건설
23612,미소시티,서울시 강남구 대치동 904-10,37.502617,127.056398,18,0,1,50,329,46,평산건설(주)
